"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3463803,141,"Yes","Activities"
3464244,140,"No","All"
3461732,154,"Yes","Activities"
3464021,157,"Yes","Activities"
3464287,273,"Yes","Activities"
3461698,146,"Yes","Accommodation"
3461830,132,"Yes","Accommodation"
3461741,162,"Yes","Accommodation"
3461823,143,"Yes","Accommodation"
3463441,127,"No","All"
3462189,165,"Yes","Activities"
3461848,153,"Yes","Accommodation"
3462423,193,"Yes","Activities"
3465900,172,"No","All"
3462423,192,"Yes","Accommodation"
3465866,150,"Yes","Accommodation"
3463773,138,"Yes","Accommodation"
3463825,144,"Yes","Accommodation"
3465200,138,"Yes","Accommodation"
3465200,139,"Yes","Transport"
3462791,126,"Yes","Accommodation"
3462609,138,"Yes","Activities"
3466318,191,"Yes","Activities"
3464090,166,"Yes","Transport"
3462843,158,"Yes","Accommodation"
3465934,154,"No","All"
3462757,159,"Yes","Activities"
3464090,165,"Yes","Accommodation"
3464143,182,"Yes","Accommodation"
3466400,197,"No","All"
3464274,220,"Yes","Activities"
3466495,179,"Yes","Accommodation"
3464341,185,"Yes","Accommodation"
3462757,158,"Yes","Transport"
3466450,169,"Yes","Accommodation"
3462818,186,"Yes","Accommodation"
3464274,218,"Yes","Accommodation"
3466554,152,"Yes","Accommodation"
3463957,164,"Yes","Accommodation"
3462609,137,"Yes","Transport"
3465952,169,"Yes","Accommodation"
3464203,171,"Yes","Activities"
3464090,167,"Yes","Activities"
3462843,160,"Yes","Activities"
3464794,167,"Yes","Activities"
3464794,165,"Yes","Accommodation"
3464794,166,"Yes","Transport"
3462993,183,"Yes","Accommodation"
3463025,180,"Yes","Activities"
3466768,172,"Yes","Activities"
3464795,181,"Yes","Activities"
3465077,146,"Yes","Activities"
3463036,187,"No","All"
3466793,139,"Yes","Activities"
3466768,171,"Yes","Transport"
3465259,166,"Yes","Accommodation"
3463052,173,"Yes","Accommodation"
3464274,219,"Yes","Transport"
3466768,170,"Yes","Accommodation"
3465077,145,"Yes","Accommodation"
3471046,184,"Yes","Accommodation"
3471016,213,"Yes","Accommodation"
3462843,159,"Yes","Transport"
3471096,235,"Yes","Accommodation"
3463361,204,"Yes","Accommodation"
3471096,236,"Yes","Transport"
3471189,160,"Yes","Accommodation"
3471291,130,"Yes","Accommodation"
3471298,159,"Yes","Accommodation"
3471182,148,"Yes","Accommodation"
3471046,185,"Yes","Activities"
3471375,204,"Yes","Activities"
3471291,131,"Yes","Transport"
3463509,216,"Yes","Transport"
3462982,182,"Yes","Activities"
3463502,178,"Yes","Activities"
3463052,174,"Yes","Transport"
3471064,163,"Yes","Accommodation"
3464961,141,"Yes","Activities"
3471096,237,"Yes","Activities"
3463443,176,"Yes","Accommodation"
3463361,205,"Yes","Activities"
3463450,213,"No","All"
3463509,215,"Yes","Accommodation"
3471375,203,"Yes","Transport"
3463718,156,"Yes","Accommodation"
3463770,211,"Yes","Accommodation"
3463863,184,"Yes","Accommodation"
3463261,190,"Yes","Activities"
3471457,186,"Yes","Activities"
3471457,185,"Yes","Transport"
3463770,212,"Yes","Transport"
3464061,162,"Yes","Transport"
3471550,190,"Yes","Accommodation"
3471616,142,"Yes","Accommodation"
3471516,148,"Yes","Accommodation"
3464061,161,"Yes","Accommodation"
3471559,194,"Yes","Accommodation"
3466550,144,"Yes","Accommodation"
3471457,184,"Yes","Accommodation"
3471291,132,"Yes","Activities"
3463770,213,"Yes","Activities"
3470993,129,"Yes","Activities"
3463863,185,"Yes","Activities"
3471634,174,"Yes","Accommodation"
3471042,167,"Yes","Accommodation"
3471061,167,"Yes","Accommodation"
3471625,209,"Yes","Accommodation"
3471516,149,"Yes","Activities"
3471902,143,"Yes","Activities"
3471625,211,"Yes","Activities"
3465013,136,"No","All"
3471027,153,"Yes","Transport"
3471112,120,"Yes","Accommodation"
3471902,142,"Yes","Accommodation"
3471866,147,"Yes","Accommodation"
3471625,210,"Yes","Transport"
3471062,172,"Yes","Accommodation"
3465113,127,"Yes","Accommodation"
3472241,150,"No","All"
3471179,164,"Yes","Activities"
3471179,163,"Yes","Accommodation"
3472109,151,"Yes","Accommodation"
3465860,152,"Yes","Accommodation"
3465919,165,"Yes","Accommodation"
3471750,156,"Yes","Transport"
3465240,148,"Yes","Accommodation"
3472670,142,"Yes","Accommodation"
3496059,153,"Yes","Accommodation"
3472670,143,"Yes","Activities"
3465919,167,"Yes","Activities"
3472043,142,"Yes","Accommodation"
3464061,163,"Yes","Activities"
3472602,121,"No","All"
3465919,166,"Yes","Transport"
3472584,189,"Yes","Accommodation"
3495964,126,"Yes","Accommodation"
3471327,178,"Yes","Activities"
3496384,201,"No","All"
3472661,161,"Yes","Accommodation"
3463509,217,"Yes","Activities"
3496468,125,"No","All"
3472643,173,"Yes","Activities"
3471277,207,"Yes","Activities"
3496559,179,"Yes","Accommodation"
3471711,142,"Yes","Accommodation"
3466149,216,"Yes","Activities"
3496611,172,"Yes","Activities"
3471694,118,"No","All"
3466562,144,"No","All"
3471327,177,"Yes","Transport"
