"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3185076,123,"www.lonleyplanet.com","www.lonleyplanet.com",""
3184667,112,"www.lonleyplanet.com",NA,""
3185076,126,"Travel guides/books about New Zealand",NA,"9"
3185076,126,"Travel guides/books about New Zealand",NA,"8"
3185076,122,"Travel agents in your home country over the phone",NA,"8"
3184622,126,"Another social networking website",NA,"6"
3184622,125,"Friends, family and colleagues",NA,"Very Useful10"
3184668,116,"Friends, family and colleagues",NA,"8"
3185077,118,"www.tripadvisor.com",NA,"9"
3185077,119,"Other publications e.g. magazines",NA,"9"
3184668,117,"Another source",NA,"Another source"
3184629,146,"Travel guides/books about New Zealand",NA,"7"
3184682,105,"www.lonleyplanet.com",NA,"9"
3185078,98,"Websites of individual i-SITE centres",NA,"8"
3184682,104,"Airline websites",NA,"9"
3185078,98,"Another source",NA,"8"
3184682,105,"www.newzealand.com",NA,"9"
3184629,146,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3185078,97,"www.tripadvisor.com",NA,"7"
3184629,145,"www.newzealand.com",NA,"9"
3185092,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3184683,129,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3184629,144,"Airline websites","Airline websites","9"
3185092,113,"Another source","Another source","Another source"
3185092,113,"Another source","Another source","Very Useful10"
3185092,112,"Other publications e.g. magazines",NA,"7"
3184685,125,"Friends, family and colleagues",NA,"9"
3184685,127,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184685,127,"Travel guides/books about New Zealand",NA,"8"
3184636,119,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3184685,126,"Travel agents in your home country in person",NA,"Very Useful10"
3184685,126,"Websites of individual i-SITE centres",NA,"Very Useful10"
3185093,116,"Friends, family and colleagues",NA,"Very Useful10"
3184636,118,"www.wotif.com",NA,"6"
3184636,118,"www.wotif.com",NA,"Very Useful10"
3185093,118,"Travel agents in your home country in person",NA,"Very Useful10"
3184636,116,"By visiting an airline outlet",NA,"Very Useful10"
3185093,116,"Airline websites",NA,"Very Useful10"
3185093,119,"www.lonleyplanet.com",NA,"9"
3184699,116,"Other publications e.g. magazines",NA,"8"
3185093,117,"Travel agents in your home country over the phone",NA,"6"
3184636,116,"Friends, family and colleagues",NA,"Very Useful10"
3185093,117,"Travel agents in your home country over the phone",NA,"7"
3184699,116,"www.newzealand.com",NA,"8"
3184636,117,"Travel agents in your home country in person",NA,"Very Useful10"
3185094,114,"www.newzealand.com","www.newzealand.com","7"
3184699,115,"Airline websites",NA,"8"
3184636,119,"Another source",NA,"8"
3185094,114,"www.newzealand.com","www.newzealand.com","6"
3185094,114,"www.wotif.com",NA,"7"
3185094,113,"Friends, family and colleagues",NA,"Very Useful10"
3184638,120,"Travel guides/books about New Zealand",NA,"9"
3184700,125,"Facebook",NA,"Very Useful10"
3184700,126,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","6"
3184638,119,"Online travel blogs",NA,"Very Useful10"
3184700,127,"Travel guides/books about New Zealand",NA,"6"
3184638,119,"Online travel blogs",NA,"Not Sure"
3184700,127,"Travel guides/books about New Zealand",NA,"Very Useful10"
3185108,125,"Online travel blogs",NA,"Very Useful10"
3185108,125,"Online travel blogs",NA,"9"
3184638,118,"www.newzealand.com",NA,""
3184700,125,"Travel agents in your home country via the internet",NA,"Very Useful10"
3185108,126,"Travel guides/books about New Zealand",NA,"8"
3185108,124,"www.tripadvisor.com","www.tripadvisor.com",""
3184645,112,"www.newzealand.com",NA,"9"
3184702,110,"Travel guides/books about New Zealand",NA,"8"
3184645,113,"Weibu",NA,"6"
3184702,110,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3185112,113,"www.newzealand.com",NA,"Very Useful10"
3184702,109,"www.tripadvisor.com",NA,"Very Useful10"
3185112,114,"Other publications e.g. magazines",NA,"Very Useful10"
3184702,108,"Airline websites","Airline websites","4"
3184647,116,"www.tripadvisor.com",NA,"8"
3184647,117,"www.lonleyplanet.com",NA,"9"
3184647,118,"Another source",NA,"Another source"
3185125,134,"Friends, family and colleagues",NA,"7"
3184733,95,"www.lonleyplanet.com","www.lonleyplanet.com","8"
3184733,95,"www.lonleyplanet.com","www.lonleyplanet.com","6"
3185125,136,"Websites of individual i-SITE centres",NA,"9"
3184733,96,"www.newzealand.com",NA,"8"
3184733,94,"Travel agents in your home country via the internet",NA,"7"
3185125,136,"Websites of individual i-SITE centres",NA,"9"
3184733,95,"Travel agents in your home country in person",NA,"6"
3185125,135,"www.i-SITE.org.nz",NA,"4"
3185125,135,"www.newzealand.com",NA,"4"
3184661,96,"Other publications e.g. magazines",NA,"7"
3185125,137,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"5"
3184734,96,"Travel agents in your home country via the internet",NA,"5"
3184661,93,"Friends, family and colleagues",NA,"Very Useful10"
3185125,137,"Travel guides/books about New Zealand",NA,"5"
3184661,93,"Airline websites","Airline websites","Very Useful10"
3184661,93,"Airline websites","Airline websites","Very Useful10"
3184734,96,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","5"
3184661,95,"www.tripadvisor.com","www.tripadvisor.com","7"
3184734,96,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3184661,96,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3185144,105,"www.newzealand.com",NA,"8"
3185145,121,"Travel guides/books about New Zealand",NA,"8"
3184663,126,"Travel agents in your home country over the phone",NA,"Very Useful10"
3184750,134,"Airline websites",NA,"9"
3184663,125,"Friends, family and colleagues",NA,"Very Useful10"
3184750,135,"www.lonleyplanet.com",NA,"Very Useful10"
3184663,126,"Travel agents in your home country in person","Travel agents in your home country in person","8"
3184663,126,"Travel agents in your home country in person","Travel agents in your home country in person","Very Useful10"
3185145,121,"www.tripadvisor.com",NA,"8"
3185145,122,"Another source",NA,"Very Useful10"
3185145,122,"Another source",NA,"Another source"
3184750,136,"Another source",NA,"9"
3184665,111,"Travel agents in your home country via the internet",NA,"Not Sure"
3184750,136,"Another source",NA,"Another source"
3185145,120,"Friends, family and colleagues",NA,"7"
3184665,112,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","Very Useful10"
3184665,112,"Travel guides/books about New Zealand","Travel guides/books about New Zealand","8"
3185159,138,"Another source",NA,"Another source"
3184750,135,"Other publications e.g. magazines",NA,"Very Useful10"
3184665,112,"www.newzealand.com",NA,"8"
3185159,138,"Another source",NA,"9"
3185159,137,"Travel agents in your home country in person",NA,"9"
3185159,137,"www.tripadvisor.com",NA,"9"
3185159,136,"Airline websites",NA,"Very Useful10"
3184690,109,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3184690,110,"Other publications e.g. magazines",NA,"Very Useful10"
3184751,104,"Websites of individual i-SITE centres",NA,"7"
3184751,101,"Travel agents in your home country in person",NA,"Very Useful10"
3185160,114,"Airline websites","Airline websites","Very Useful10"
3184695,120,"Online travel blogs",NA,"Very Useful10"
3184751,103,"www.lonleyplanet.com",NA,"8"
3185160,115,"www.newzealand.com",NA,"9"
3184751,103,"www.lonleyplanet.com",NA,"6"
3185160,115,"www.tripadvisor.com",NA,"9"
3184751,101,"Airline websites",NA,"Very Useful10"
3185160,116,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184751,102,"www.wotif.com",NA,"Very Useful10"
3185160,116,"Travel guides/books about New Zealand",NA,"8"
3185160,117,"Another source",NA,"Another source"
3184697,121,"Online travel blogs",NA,"8"
3184697,120,"www.newzealand.com",NA,"8"
3184766,112,"www.newzealand.com",NA,"6"
3184697,120,"www.newzealand.com",NA,"8"
3184766,113,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3184697,119,"www.lonleyplanet.com",NA,"6"
3185161,96,"Travel agents in your home country in person",NA,"8"
3184697,119,"Travel agents in your home country in person",NA,"6"
3185161,95,"Airline websites",NA,"9"
3184697,121,"Another source",NA,"8"
3184697,118,"Travel agents in your home country via the internet",NA,"7"
3184767,113,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"6"
3185162,103,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites",""
3184767,112,"www.wotif.com",NA,"8"
3184767,112,"www.wotif.com",NA,"7"
3185162,102,"Travel agents in your home country in person",NA,"4"
3184713,135,"Friends, family and colleagues",NA,"Very Useful10"
3184767,111,"Travel agents in your home country in person",NA,""
3185162,104,"Another source",NA,"9"
3184713,136,"Travel agents in your home country in person",NA,"9"
3185162,104,"Another source",NA,"Another source"
3184713,136,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3184784,121,"Travel agents in your home country over the phone",NA,"9"
3184786,105,"www.tripadvisor.com",NA,"6"
3185175,106,"Friends, family and colleagues",NA,"8"
3184715,125,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3185175,108,"Other publications e.g. magazines",NA,"Very Useful10"
3184715,124,"Weibu",NA,"6"
3185175,107,"www.newzealand.com",NA,"Very Useful10"
3184715,125,"Another source",NA,"9"
3185175,108,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184799,127,"Travel agents in your home country in person",NA,"Very Useful10"
3184800,135,"Friends, family and colleagues",NA,"8"
3184722,98,"Travel guides/books about New Zealand",NA,"Very Useful10"
3185193,114,"www.tripadvisor.com",NA,"Very Useful10"
3184722,98,"Online travel blogs",NA,"Very Useful10"
3184800,136,"www.tripadvisor.com",NA,"7"
3185193,113,"Travel agents in your home country over the phone",NA,"Very Useful10"
3184800,137,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184722,97,"Travel agents in your home country over the phone",NA,"Very Useful10"
3185193,114,"www.newzealand.com",NA,"Very Useful10"
3184800,137,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184722,96,"Airline websites",NA,"Very Useful10"
3184800,136,"www.newzealand.com",NA,"7"
3185193,115,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Not Sure"
3185193,115,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3185195,118,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3184802,105,"www.newzealand.com",NA,"8"
3184729,109,"Airline websites",NA,"8"
3185195,118,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184802,106,"Online travel blogs",NA,"8"
3184816,116,"None of these",NA,"None of these"
3185195,117,"Friends, family and colleagues",NA,"7"
3184729,111,"Facebook",NA,"8"
3184729,111,"Facebook",NA,"8"
3185195,119,"Another source",NA,"Very Useful10"
3185195,119,"Another source",NA,"Another source"
3184729,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3184817,113,"Weibu",NA,""
3184817,112,"Airline websites","Airline websites","Very Useful10"
3185209,122,"Websites of individual i-SITE centres",NA,"7"
3185209,122,"Travel guides/books about New Zealand",NA,"7"
3184729,110,"www.newzealand.com",NA,"7"
3185209,121,"www.lonleyplanet.com",NA,"7"
3184818,109,"www.lonleyplanet.com",NA,"9"
3184729,112,"Travel guides/books about New Zealand",NA,"8"
3184818,108,"Friends, family and colleagues","Friends, family and colleagues","Very Useful10"
3184729,109,"Travel agents in your home country in person",NA,"8"
3185210,126,"Travel guides/books about New Zealand",NA,"9"
3184833,133,"Other publications e.g. magazines",NA,"Very Useful10"
3185210,125,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","Very Useful10"
3184833,134,"Another source",NA,"Very Useful10"
3184833,134,"Another source",NA,"Another source"
3184833,132,"www.tripadvisor.com",NA,"8"
3184833,133,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3185210,124,"Weibu",NA,"5"
3184745,130,"Travel agents in your home country in person",NA,"8"
3185211,124,"www.tripadvisor.com",NA,"Very Useful10"
3184834,126,"www.newzealand.com",NA,"Very Useful10"
3184745,131,"www.wotif.com",NA,"8"
3184834,126,"Travel agents in your home country in person",NA,"Very Useful10"
3185225,128,"Friends, family and colleagues",NA,"Very Useful10"
3184834,125,"Friends, family and colleagues",NA,"Very Useful10"
3184745,131,"Travel guides/books about New Zealand",NA,"8"
3185226,103,"Travel agents in your home country in person",NA,"Very Useful10"
3184747,119,"www.newzealand.com",NA,"8"
3185226,104,"www.newzealand.com",NA,"9"
3184835,107,"Friends, family and colleagues",NA,"7"
3184747,118,"Airline websites",NA,"Very Useful10"
3184835,109,"www.newzealand.com",NA,"Very Useful10"
3184747,119,"Travel agents in your home country in person",NA,"8"
3184835,109,"www.newzealand.com",NA,"7"
3184835,110,"Weibu",NA,"7"
3185227,115,"Airline websites","Airline websites","Very Useful10"
3184835,110,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3184765,104,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3184835,111,"Online travel blogs",NA,"8"
3185228,101,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3184835,111,"Online travel blogs",NA,"7"
3184835,107,"www.tripadvisor.com",NA,"7"
3184765,104,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184835,108,"www.lonleyplanet.com",NA,"8"
3184765,103,"www.lonleyplanet.com",NA,"Very Useful10"
3184835,112,"Travel guides/books about New Zealand",NA,"9"
