"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3184878,136,"None of these","Planning trip to NZ"
3184847,138,"Facebook","During trip to NZ"
3184832,145,"Twitter","Planning trip to NZ"
3184831,128,"None of these","Planning trip to NZ"
3184835,126,"Kaixin or RenRen","Planning trip to NZ"
3184882,141,"None of these","During trip to NZ"
3184863,146,"Facebook","During trip to NZ"
3184836,134,"Kaixin or RenRen","After trip to NZ"
3184877,118,"Facebook","After trip to NZ"
3184836,131,"Kaixin or RenRen","Planning trip to NZ"
3184875,140,"None of these","Planning trip to NZ"
3184873,131,"Weibu","After trip to NZ"
3184836,135,"Twitter","After trip to NZ"
3184877,117,"None of these","During trip to NZ"
3184840,140,"None of these","Planning trip to NZ"
3184885,141,"None of these","Planning trip to NZ"
3184832,147,"Facebook","After trip to NZ"
3184836,133,"None of these","During trip to NZ"
3184889,128,"Facebook","Planning trip to NZ"
3184848,144,"Weibu","Planning trip to NZ"
3184882,142,"None of these","After trip to NZ"
3184885,142,"None of these","During trip to NZ"
3184848,145,"Weibu","During trip to NZ"
3184863,147,"None of these","After trip to NZ"
3184852,160,"Facebook","Planning trip to NZ"
3184894,136,"None of these","Planning trip to NZ"
3184883,110,"None of these","Planning trip to NZ"
3184863,145,"None of these","Planning trip to NZ"
3184836,132,"Weibu","Planning trip to NZ"
3184840,142,"Facebook","After trip to NZ"
3184877,116,"None of these","Planning trip to NZ"
3184873,130,"None of these","During trip to NZ"
3184885,143,"None of these","After trip to NZ"
3184832,146,"Facebook","During trip to NZ"
3184889,129,"Facebook","During trip to NZ"
3184890,125,"Facebook","Planning trip to NZ"
3184840,141,"Facebook","During trip to NZ"
3184868,140,"Facebook","Planning trip to NZ"
3184848,147,"Weibu","After trip to NZ"
3184875,141,"Weibu","During trip to NZ"
3184890,126,"Facebook","During trip to NZ"
3184890,127,"Mixi","After trip to NZ"
3184852,162,"None of these","After trip to NZ"
3184901,126,"None of these","Planning trip to NZ"
3184889,131,"Mixi","After trip to NZ"
3184868,141,"None of these","During trip to NZ"
3184880,129,"None of these","During trip to NZ"
3184880,128,"None of these","Planning trip to NZ"
3184884,108,"None of these","Planning trip to NZ"
3184894,138,"None of these","After trip to NZ"
3184883,111,"None of these","During trip to NZ"
3184889,130,"Facebook","After trip to NZ"
3184901,127,"None of these","During trip to NZ"
3184918,124,"None of these","Planning trip to NZ"
3184848,146,"Kaixin or RenRen","After trip to NZ"
3184875,142,"Weibu","After trip to NZ"
3184918,125,"None of these","During trip to NZ"
3184930,123,"None of these","After trip to NZ"
3184852,161,"Facebook","During trip to NZ"
3184884,109,"Facebook","During trip to NZ"
3184934,132,"None of these","During trip to NZ"
3184894,137,"None of these","During trip to NZ"
3184905,138,"None of these","During trip to NZ"
3184868,142,"None of these","After trip to NZ"
3184930,122,"Twitter","During trip to NZ"
3184880,130,"Facebook","After trip to NZ"
3184891,128,"None of these","Planning trip to NZ"
3184901,128,"None of these","After trip to NZ"
3184934,131,"Twitter","Planning trip to NZ"
3184918,126,"Facebook","After trip to NZ"
3184938,121,"None of these","Planning trip to NZ"
3184883,112,"Facebook","After trip to NZ"
3184905,137,"Facebook","Planning trip to NZ"
3184934,133,"Facebook","After trip to NZ"
3184909,124,"Weibu","During trip to NZ"
3184891,129,"Facebook","During trip to NZ"
3184930,121,"None of these","Planning trip to NZ"
3184905,139,"Facebook","After trip to NZ"
3184908,135,"Twitter","Planning trip to NZ"
3184938,123,"Facebook","After trip to NZ"
3184909,125,"Kaixin or RenRen","After trip to NZ"
3184954,133,"Facebook","During trip to NZ"
3184908,137,"None of these","After trip to NZ"
3184913,126,"Kaixin or RenRen","After trip to NZ"
3184920,125,"Facebook","Planning trip to NZ"
3184891,130,"None of these","After trip to NZ"
3184958,140,"None of these","During trip to NZ"
3184909,123,"Weibu","Planning trip to NZ"
3184962,136,"None of these","Planning trip to NZ"
3184913,124,"None of these","Planning trip to NZ"
3184938,122,"None of these","During trip to NZ"
3184933,116,"Twitter","Planning trip to NZ"
3184954,132,"Facebook","Planning trip to NZ"
3184913,125,"Weibu","During trip to NZ"
3184884,110,"Twitter","After trip to NZ"
3184958,139,"None of these","Planning trip to NZ"
3184954,134,"Facebook","After trip to NZ"
3184908,136,"Facebook","During trip to NZ"
3184933,117,"Weibu","Planning trip to NZ"
3184916,141,"Facebook","After trip to NZ"
3184937,126,"None of these","Planning trip to NZ"
3184933,119,"Kaixin or RenRen","After trip to NZ"
3184895,127,"Facebook","After trip to NZ"
3184920,127,"None of these","After trip to NZ"
3184937,128,"None of these","After trip to NZ"
3184916,139,"Facebook","Planning trip to NZ"
3184958,141,"Facebook","After trip to NZ"
3184895,126,"None of these","During trip to NZ"
3184920,126,"None of these","During trip to NZ"
3184933,118,"None of these","During trip to NZ"
3184962,137,"None of these","During trip to NZ"
3184937,127,"None of these","During trip to NZ"
3184895,125,"None of these","Planning trip to NZ"
3184916,140,"None of these","During trip to NZ"
3184966,137,"None of these","Planning trip to NZ"
3184924,132,"None of these","Planning trip to NZ"
3184962,138,"None of these","After trip to NZ"
3184970,117,"None of these","After trip to NZ"
3184945,141,"Facebook","During trip to NZ"
3184928,131,"Facebook","After trip to NZ"
3184907,142,"None of these","After trip to NZ"
3184982,147,"Facebook","After trip to NZ"
3184986,152,"Facebook","After trip to NZ"
3184911,128,"None of these","After trip to NZ"
3184966,139,"Weibu","After trip to NZ"
3184966,138,"None of these","During trip to NZ"
3184941,143,"Facebook","During trip to NZ"
3184970,116,"Facebook","During trip to NZ"
3184974,115,"Facebook","After trip to NZ"
3184924,134,"None of these","After trip to NZ"
3184907,141,"None of these","During trip to NZ"
3184982,146,"Facebook","During trip to NZ"
3184941,144,"None of these","After trip to NZ"
3184928,130,"None of these","During trip to NZ"
3184986,151,"Facebook","During trip to NZ"
3184924,133,"None of these","During trip to NZ"
3184911,127,"Weibu","During trip to NZ"
3184945,142,"Facebook","After trip to NZ"
3184974,114,"None of these","During trip to NZ"
3184928,132,"Twitter","After trip to NZ"
3184941,142,"None of these","Planning trip to NZ"
3184974,113,"Facebook","Planning trip to NZ"
3184990,132,"None of these","Planning trip to NZ"
3184932,121,"None of these","During trip to NZ"
3184911,126,"Weibu","Planning trip to NZ"
3184965,141,"None of these","Planning trip to NZ"
3184932,120,"None of these","Planning trip to NZ"
3184998,133,"Kaixin or RenRen","Planning trip to NZ"
3185006,132,"Facebook","Planning trip to NZ"
3184907,140,"None of these","Planning trip to NZ"
3184970,115,"None of these","Planning trip to NZ"
3184982,145,"None of these","Planning trip to NZ"
3184919,154,"Facebook","Planning trip to NZ"
3184965,142,"None of these","During trip to NZ"
3184990,134,"None of these","After trip to NZ"
3184936,135,"Facebook","During trip to NZ"
3184945,140,"Facebook","Planning trip to NZ"
3184944,157,"None of these","Planning trip to NZ"
3184928,129,"Facebook","Planning trip to NZ"
3185002,140,"None of these","Planning trip to NZ"
3184986,150,"None of these","Planning trip to NZ"
3184952,127,"Facebook","Planning trip to NZ"
3184939,124,"Facebook","Planning trip to NZ"
3184977,135,"None of these","Planning trip to NZ"
3184990,133,"Facebook","During trip to NZ"
3184936,134,"None of these","Planning trip to NZ"
3184965,143,"None of these","After trip to NZ"
3184932,122,"Facebook","After trip to NZ"
3184919,155,"Facebook","During trip to NZ"
3184998,134,"Weibu","During trip to NZ"
3184936,136,"None of these","After trip to NZ"
3184919,156,"None of these","After trip to NZ"
3185002,142,"Facebook","After trip to NZ"
3184944,159,"None of these","After trip to NZ"
3185002,141,"None of these","During trip to NZ"
3184952,128,"Twitter","During trip to NZ"
3184960,130,"None of these","Planning trip to NZ"
3184998,135,"Weibu","After trip to NZ"
3184944,158,"None of these","During trip to NZ"
3184977,137,"None of these","After trip to NZ"
3184956,133,"None of these","Planning trip to NZ"
3184943,131,"None of these","Planning trip to NZ"
3184977,136,"None of these","During trip to NZ"
3184952,129,"Facebook","After trip to NZ"
3184981,132,"None of these","Planning trip to NZ"
3184989,140,"Facebook","Planning trip to NZ"
3184939,125,"Facebook","During trip to NZ"
3184956,135,"None of these","After trip to NZ"
3184960,131,"Facebook","During trip to NZ"
3184981,134,"None of these","After trip to NZ"
3184939,126,"None of these","After trip to NZ"
3185006,133,"Facebook","During trip to NZ"
3184981,133,"None of these","During trip to NZ"
3184989,141,"None of these","During trip to NZ"
3184989,142,"Facebook","After trip to NZ"
3184956,134,"Facebook","During trip to NZ"
3185006,134,"Facebook","After trip to NZ"
3185010,124,"Weibu","Planning trip to NZ"
3184964,113,"None of these","Planning trip to NZ"
3185017,122,"None of these","Planning trip to NZ"
3185013,147,"None of these","Planning trip to NZ"
3185014,128,"None of these","Planning trip to NZ"
3184947,128,"None of these","Planning trip to NZ"
3185010,125,"None of these","During trip to NZ"
3184943,132,"Facebook","During trip to NZ"
3184960,132,"None of these","After trip to NZ"
