"SurveyResponseID","AnswerNumber","HobbitExpType"
3187813,108,"I wanted to visit Hobbiton"
3187825,103,"I wanted to visit Hobbiton"
3187841,94,"Wanted to see if the scenery was like it was in the film"
3187843,97,"Wanted to see where the film was made"
3187852,141,"The scenery"
3187852,142,"Wanted to see if the scenery was like it was in the film"
3187852,143,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187852,144,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187855,135,"The scenery"
3187855,136,"Wanted to see if the scenery was like it was in the film"
3187855,137,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187855,138,"Wanted to see where the film was made"
3187855,139,"I wanted to visit Hobbiton"
3187864,127,"The scenery"
3187864,128,"Wanted to see if the scenery was like it was in the film"
3187864,129,"Wanted to see where the film was made"
3187868,97,"The scenery"
3187868,98,"Wanted to see if the scenery was like it was in the film"
3187868,99,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187868,100,"Wanted to see where the film was made"
3187868,101,"I wanted to visit Hobbiton"
3187869,109,"The scenery"
3187869,110,"Wanted to see if the scenery was like it was in the film"
3187869,111,"Wanted to see where the film was made"
3187869,112,"I wanted to visit Hobbiton"
3187869,113,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187881,113,"Wanted to see if the scenery was like it was in the film"
3187881,114,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187881,115,"Wanted to see where the film was made"
3187881,116,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187882,102,"The scenery"
3187882,103,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187896,85,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187902,130,"Wanted to see where the film was made"
3187925,119,"Wanted to see where the film was made"
3187925,120,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187926,93,"I wanted to visit Hobbiton"
3187936,129,"Wanted to see if the scenery was like it was in the film"
3187936,130,"I wanted to visit Hobbiton"
3187947,110,"The scenery"
3187947,111,"Wanted to see where the film was made"
3187960,150,"Wanted to see where the film was made"
3187960,151,"I wanted to visit Hobbiton"
3187969,98,"The scenery"
3187972,149,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187972,150,"Wanted to see where the film was made"
3187972,151,"I wanted to visit Hobbiton"
3187974,114,"The scenery"
3187974,115,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187976,98,"The scenery"
3187976,99,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187976,100,"Wanted to see where the film was made"
3187976,101,"I wanted to visit Hobbiton"
3187989,98,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187989,99,"Wanted to see where the film was made"
3187991,140,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188000,142,"The scenery"
3188000,143,"Wanted to see if the scenery was like it was in the film"
3188000,144,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188015,129,"The scenery"
3188015,130,"Wanted to see if the scenery was like it was in the film"
3188015,131,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188015,132,"Wanted to see where the film was made"
3188015,133,"I wanted to visit Hobbiton"
3188074,115,"Wanted to see where the film was made"
3188089,103,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188091,133,"The scenery"
3188091,134,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188091,135,"I wanted to visit Hobbiton"
3188091,136,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188107,107,"The scenery"
3188107,108,"Wanted to see if the scenery was like it was in the film"
3188107,109,"Wanted to see where the film was made"
3188114,103,"The scenery"
3188114,104,"Wanted to see if the scenery was like it was in the film"
3188114,105,"Wanted to see where the film was made"
3188170,144,"The scenery"
3188170,145,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188170,146,"Wanted to see where the film was made"
3188170,147,"I wanted to visit Hobbiton"
3188172,110,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188172,111,"I wanted to visit Hobbiton"
3188172,112,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188210,117,"The scenery"
3188210,118,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188210,119,"I wanted to visit Hobbiton"
3188210,120,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188236,115,"Wanted to see if the scenery was like it was in the film"
3188236,116,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188236,117,"I wanted to visit Hobbiton"
3188240,100,"Wanted to see if the scenery was like it was in the film"
3188240,101,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188240,102,"Wanted to see where the film was made"
3188240,103,"I wanted to visit Hobbiton"
3188240,104,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188247,119,"The scenery"
3188247,120,"Wanted to see where the film was made"
3188247,121,"I wanted to visit Hobbiton"
3188282,132,"Wanted to see if the scenery was like it was in the film"
3188282,133,"Wanted to see where the film was made"
3188282,134,"I wanted to visit Hobbiton"
3188287,124,"The scenery"
3188287,125,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188287,126,"I wanted to visit Hobbiton"
3188314,98,"I wanted to visit Hobbiton"
3188322,160,"The scenery"
3188323,121,"The scenery"
3188323,122,"Wanted to see if the scenery was like it was in the film"
3188323,123,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188333,105,"Wanted to see if the scenery was like it was in the film"
3188333,106,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188333,107,"I wanted to visit Hobbiton"
3188341,137,"The scenery"
3188341,138,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188344,143,"The scenery"
3188344,144,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188344,145,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188355,148,"The scenery"
3188375,145,"The scenery"
3188375,146,"Wanted to see if the scenery was like it was in the film"
3188375,147,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188398,99,"Wanted to see where the film was made"
3188398,100,"I wanted to visit Hobbiton"
3188434,147,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188454,98,"The scenery"
3188454,99,"I wanted to visit Hobbiton"
3188454,100,"Something else"
3188472,101,"Wanted to see where the film was made"
3188472,102,"I wanted to visit Hobbiton"
3188539,112,"Wanted to see if the scenery was like it was in the film"
3188539,113,"Wanted to see where the film was made"
3188539,114,"I wanted to visit Hobbiton"
3188547,116,"The scenery"
3188547,117,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188547,118,"Wanted to see where the film was made"
3188576,119,"The scenery"
3188576,120,"Wanted to see if the scenery was like it was in the film"
3188576,121,"Something else"
3188587,116,"The scenery"
3188587,117,"Wanted to see where the film was made"
3188591,131,"Wanted to see if the scenery was like it was in the film"
3188591,132,"Wanted to see where the film was made"
3188593,115,"The scenery"
3188593,116,"Wanted to see where the film was made"
3188619,111,"Wanted to see where the film was made"
3188645,125,"The scenery"
3188645,126,"Wanted to see if the scenery was like it was in the film"
3188645,127,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188645,128,"Wanted to see where the film was made"
3188645,129,"I wanted to visit Hobbiton"
3188690,104,"The scenery"
3188727,157,"The scenery"
3188727,158,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188727,159,"I wanted to visit Hobbiton"
3188727,160,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188758,137,"The scenery"
3188758,138,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188758,139,"Wanted to see where the film was made"
3188758,140,"I wanted to visit Hobbiton"
3188758,141,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188767,150,"The scenery"
3188767,151,"Wanted to see where the film was made"
3188780,117,"The scenery"
3188780,118,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188832,117,"The scenery"
3188832,118,"Wanted to see if the scenery was like it was in the film"
3188844,148,"The scenery"
3188844,149,"Wanted to see if the scenery was like it was in the film"
3188844,150,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188844,151,"Wanted to see where the film was made"
3188846,131,"The scenery"
3188846,132,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188855,118,"Wanted to see if the scenery was like it was in the film"
3188864,103,"Not sure"
3188909,110,"The scenery"
3188909,111,"Wanted to see if the scenery was like it was in the film"
3188939,129,"The scenery"
3188939,130,"Wanted to see if the scenery was like it was in the film"
3188941,102,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3188951,127,"The scenery"
3188951,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188955,118,"The scenery"
3188955,119,"Wanted to see if the scenery was like it was in the film"
3188955,120,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3188955,121,"Wanted to see where the film was made"
3188955,122,"I wanted to visit Hobbiton"
3189003,154,"The scenery"
3189003,155,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189003,156,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189017,117,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189017,118,"Wanted to see where the film was made"
3189017,119,"I wanted to visit Hobbiton"
3189017,120,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189023,149,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189033,160,"The scenery"
3189033,161,"Wanted to see if the scenery was like it was in the film"
3189033,162,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189038,151,"The scenery"
3189038,152,"Wanted to see if the scenery was like it was in the film"
3189065,112,"The scenery"
3189065,113,"Wanted to see if the scenery was like it was in the film"
3189065,114,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189065,115,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189084,88,"The scenery"
3189106,123,"The scenery"
3189106,124,"Wanted to see if the scenery was like it was in the film"
3189106,125,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189106,126,"Wanted to see where the film was made"
3189106,127,"I wanted to visit Hobbiton"
3189126,125,"The scenery"
3189126,126,"Wanted to see if the scenery was like it was in the film"
3189126,127,"Wanted to see where the film was made"
3189126,128,"I wanted to visit Hobbiton"
3189129,110,"The scenery"
3189129,111,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189129,112,"Wanted to see where the film was made"
3189129,113,"I wanted to visit Hobbiton"
3189129,114,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189140,103,"The scenery"
3189140,104,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189141,113,"The scenery"
3189141,114,"Wanted to see if the scenery was like it was in the film"
3189141,115,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189141,116,"Wanted to see where the film was made"
3189193,119,"The scenery"
3189193,120,"Wanted to see if the scenery was like it was in the film"
3189193,121,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189193,122,"Wanted to see where the film was made"
3189193,123,"I wanted to visit Hobbiton"
3189193,124,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189197,126,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189197,127,"I wanted to visit Hobbiton"
3189216,120,"The scenery"
3189260,126,"Wanted to see if the scenery was like it was in the film"
3189260,127,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189260,128,"Wanted to see where the film was made"
3189260,129,"I wanted to visit Hobbiton"
3189264,137,"The scenery"
3189264,138,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189264,139,"Wanted to see where the film was made"
3189265,113,"The scenery"
3189265,114,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189271,139,"Wanted to see if the scenery was like it was in the film"
3189271,140,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189271,141,"I wanted to visit Hobbiton"
3189271,142,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189308,142,"Wanted to see where the film was made"
3189333,127,"The scenery"
3189333,128,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189350,94,"The scenery"
3189362,119,"The scenery"
3189362,120,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189363,106,"The scenery"
3189363,107,"Wanted to see if the scenery was like it was in the film"
3189363,108,"Wanted to see where the film was made"
3189373,124,"The scenery"
3189373,125,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189396,131,"The scenery"
3189404,105,"Wanted to see if the scenery was like it was in the film"
3189441,152,"Wanted to see if the scenery was like it was in the film"
3189441,153,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3189444,107,"The scenery"
3189444,108,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3189444,109,"Wanted to see where the film was made"
3189477,118,"The scenery"
3189477,119,"Wanted to see if the scenery was like it was in the film"
