"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3193513,139,"No air-conditioning/heating inadequate"
3193513,140,"Noisy"
3185540,144,"No free internet"
3185394,141,"Poor customer service"
3185394,142,"Poor standard of cleanliness/dirty"
3185410,141,"Too expensive"
3185410,142,"Poor customer service"
3185410,143,"Poor standard of cleanliness/dirty"
3193545,149,"Poor customer service"
3193545,148,"The Qualmark rating was too high"
3193545,152,"Another reason"
3193556,143,"No free internet"
3193556,145,"No air-conditioning/heating inadequate"
3193556,139,"Poor/old facilities"
3193556,140,"Too expensive"
3193556,141,"Poor customer service"
3193556,142,"Poor standard of cleanliness/dirty"
3193713,159,"Poor/old facilities"
3193713,161,"Poor customer service"
3193556,146,"Noisy"
3193713,163,"No free internet"
3193713,165,"Noisy"
3193804,154,"No air-conditioning/heating inadequate"
3193713,160,"The Qualmark rating was too high"
3193713,162,"Poor standard of cleanliness/dirty"
3193804,152,"Poor customer service"
3193513,138,"Generally poor standard"
3193545,150,"Generally poor standard"
3193545,151,"Poor value for money"
3193556,144,"Generally poor standard"
3193713,164,"Poor value for money"
3193804,153,"Generally poor standard"
3193804,156,"Noisy"
3193897,173,"No free internet"
3193897,170,"The Qualmark rating was too high"
3193897,176,"Another reason"
3193897,175,"No air-conditioning/heating inadequate"
3185540,146,"No air-conditioning/heating inadequate"
3194006,138,"No free internet"
3193897,171,"Poor customer service"
3193897,172,"Poor standard of cleanliness/dirty"
3193904,149,"Poor customer service"
3193913,150,"Too expensive"
3193913,151,"Poor customer service"
3193904,151,"Another reason"
3194006,140,"Another reason"
3194006,139,"Noisy"
3194045,147,"No free internet"
3194045,148,"No air-conditioning/heating inadequate"
3194006,137,"Poor standard of cleanliness/dirty"
3194045,143,"Poor/old facilities"
3194045,145,"Too expensive"
3194045,146,"Poor customer service"
3193804,155,"Poor value for money"
3193897,174,"Generally poor standard"
3193904,150,"Poor value for money"
3194045,144,"The Qualmark rating was too high"
3194056,154,"No free internet"
3194056,156,"No air-conditioning/heating inadequate"
3194056,153,"Poor customer service"
3194074,167,"Poor/old facilities"
3194074,169,"Too expensive"
3194074,170,"Poor standard of cleanliness/dirty"
3193913,152,"Generally poor standard"
3193913,153,"Poor value for money"
3194045,150,"Another reason"
3194074,168,"The Qualmark rating was too high"
3194056,158,"Noisy"
3194074,172,"No air-conditioning/heating inadequate"
3185540,145,"Generally poor standard"
3194045,149,"Poor value for money"
3194056,155,"Generally poor standard"
3194056,157,"Poor value for money"
3194074,171,"Generally poor standard"
3194074,173,"Poor value for money"
3194129,159,"Too expensive"
3194074,175,"Another reason"
3194074,174,"Noisy"
3194129,162,"No air-conditioning/heating inadequate"
3194129,163,"Noisy"
3185887,143,"No air-conditioning/heating inadequate"
3194129,161,"Generally poor standard"
3194229,153,"Generally poor standard"
3194229,154,"Poor value for money"
3194129,160,"Poor standard of cleanliness/dirty"
3194129,164,"Another reason"
3185887,144,"Another reason"
3194229,155,"Noisy"
3185920,153,"No free internet"
3185920,154,"No air-conditioning/heating inadequate"
3185920,150,"Too expensive"
3185920,151,"Poor customer service"
3185920,152,"Poor standard of cleanliness/dirty"
3185921,139,"Poor/old facilities"
