"SurveyResponseID","AnswerNumber","iSiteUsage"
3185796,90,"Directions"
3185827,91,"Access to resources to assist you to plan"
3185827,93,"Directions"
3185846,82,"Access to resources to assist you to plan"
3185796,92,"Accommodation in a different region"
3184638,93,"Accommodation in a different region"
3185827,95,"Accommodation in the region you were in"
3185827,96,"Flights within New Zealand"
3184638,94,"Transport/ travel options around New Zealand"
3185846,84,"Transport/ travel options around New Zealand"
3185877,98,"Information about amenities/services for the town you were in"
3185878,87,"To meet other travellers"
3185880,77,"Weather information"
3185877,99,"Accommodation in the region you were in"
3185877,100,"Accommodation in a different region"
3185877,101,"Event information"
3185878,88,"Information about amenities/services for the town you were in"
3185878,89,"Accommodation in the region you were in"
3185880,81,"Accommodation in the region you were in"
3185880,82,"Flights within New Zealand"
3185878,86,"General information about the region you were in"
3185878,90,"Attractions / Activities"
3185880,75,"General information about the region you were in"
3185880,78,"Compare prices / find deals"
3185895,97,"General information about the region you were in"
3185895,99,"Attractions / Activities"
3184821,93,"Attractions / Activities"
3184832,96,"General information about the region you were in"
3185877,102,"Suggested itineraries"
3185880,76,"Access to resources to assist you to plan"
3185914,84,"General information about the region you were in"
3185914,87,"Attractions / Activities"
3185928,83,"Attractions / Activities"
3185946,90,"Accommodation in the region you were in"
3185880,79,"Directions"
3185880,80,"General information about a different region"
3185880,83,"Suggested itineraries"
3184832,97,"Access to resources to assist you to plan"
3184832,98,"Directions"
3185914,86,"Directions"
3185895,98,"Maps"
3185914,85,"Maps"
3185928,82,"Maps"
3185946,87,"Maps"
3185946,88,"Internet access"
3185947,94,"Accommodation in the region you were in"
3186062,94,"Accommodation in a different region"
3185946,89,"Overview of NZ regions"
3185962,95,"Attractions / Activities"
3185995,78,"Overview of NZ regions"
3186028,74,"General information about the region you were in"
3186028,75,"Attractions / Activities"
3186062,91,"General information about the region you were in"
3185946,91,"Suggested itineraries"
3185947,93,"Maps"
3185962,94,"Maps"
3185980,73,"Weather information"
3185980,74,"Maps"
3186062,92,"Maps"
3185980,75,"Directions"
3186062,93,"Directions"
3186062,95,"Suggested itineraries"
3186080,77,"Access to resources to assist you to plan"
3186096,96,"Information about amenities/services for the town you were in"
3186096,97,"Accommodation in the region you were in"
3186096,98,"Accommodation in a different region"
3186096,99,"Transport/ travel options around New Zealand"
3186097,79,"Event information"
3186129,97,"Transport/ travel options around New Zealand"
3186080,78,"Compare prices / find deals"
3186096,95,"Overview of NZ regions"
3186097,78,"General information about the region you were in"
3186128,84,"General information about the region you were in"
3186128,88,"Attractions / Activities"
3186129,94,"General information about the region you were in"
3186128,85,"Access to resources to assist you to plan"
3186128,87,"General information about a different region"
3186128,86,"Weather information"
3186131,96,"Accommodation in the region you were in"
3186131,97,"Accommodation in a different region"
3186129,98,"Attractions / Activities"
3186131,98,"Attractions / Activities"
3186163,88,"General information about the region you were in"
3186129,96,"Directions"
3186131,94,"Information about Maori culture / cultural activities"
3186131,95,"General information about a different region"
3186146,94,"Suggested itineraries"
3186129,95,"Maps"
3186131,92,"Weather information"
3186131,93,"Maps"
3186146,92,"Weather information"
3186146,93,"Maps"
3186163,89,"Maps"
3186163,90,"Internet access"
3186180,80,"Transport/ travel options around New Zealand"
3186198,95,"Event information"
3186211,80,"Information about amenities/services for the town you were in"
3186278,94,"Information about amenities/services for the town you were in"
3186278,95,"Accommodation in the region you were in"
3186198,93,"General information about the region you were in"
3186198,96,"Attractions / Activities"
3186211,77,"General information about the region you were in"
3186211,81,"Attractions / Activities"
3186180,77,"Weather information"
3186180,78,"Maps"
3186198,94,"Maps"
3186211,78,"Maps"
3186215,76,"Maps"
3186215,78,"Attractions / Activities"
3186278,91,"General information about the region you were in"
3186331,85,"General information about the region you were in"
3186180,76,"Access to resources to assist you to plan"
3186180,79,"General information about a different region"
