"SurveyResponseID","AnswerNumber","HobbitExpType"
3187843,137,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187852,203,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187852,204,"Visited Hobbiton"
3187852,205,"Visited Hobbit Film site(s)"
3187855,194,"Visited Hobbiton"
3187869,167,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187869,168,"Visited Hobbiton"
3187869,169,"Visited Hobbit Film site(s)"
3187881,169,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187881,170,"Visited Hobbit Film site(s)"
3187881,171,"Something else"
3187894,173,"Visited Hobbiton"
3187896,129,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187902,181,"Visited Hobbiton"
3187902,182,"Visited Hobbit Film site(s)"
3187911,158,"Visited Hobbiton"
3187925,174,"Visited Hobbit Film site(s)"
3187936,195,"Visited Hobbiton"
3187947,182,"Visited Hobbiton"
3187960,196,"Visited Hobbiton"
3187960,197,"Visited Hobbit Film site(s)"
3187972,216,"Group tour specifically organised for Hobbit fans"
3187972,217,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187972,218,"Visited Hobbiton"
3187972,219,"Visited Hobbit Film site(s)"
3187974,184,"Visited Hobbiton"
3187975,191,"Visited Hobbiton"
3187976,165,"Group tour specifically organised for Hobbit fans"
3187976,166,"Visited Hobbiton"
3187991,208,"Visited Hobbit Film site(s)"
3188000,218,"Visited Hobbiton"
3188001,181,"Visited Hobbiton"
3188015,185,"Organised local sightseeing tour which included Hobbit Film site(s)"
3188015,186,"Visited Hobbiton"
3188023,163,"Organised local sightseeing tour which included Hobbit Film site(s)"
3188024,192,"Something else"
3188047,204,"Visited Hobbiton"
3188064,154,"Organised local sightseeing tour which included Hobbit Film site(s)"
3188076,141,"Visited Hobbiton"
3188116,177,"Visited Hobbiton"
3188146,173,"Something else"
3188159,179,"Organised local sightseeing tour which included Hobbit Film site(s)"
3188162,212,"Visited Hobbit Film site(s)"
3188170,205,"Visited Hobbiton"
