"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3185050,148,"Another airline",NA
3185061,120,"Air New Zealand","8"
3185060,131,"Air New Zealand","6"
3185018,129,"JetStar","7"
3185045,135,"Air New Zealand","8"
3185119,137,"Air New Zealand","8"
3185119,140,"Qantas","7"
3185077,141,"Not sure",NA
3185022,140,"Air New Zealand","7"
3185072,144,"Singapore Airlines","9"
3185119,139,"China Southern","9"
3185081,137,"Virgin/Virgin Blue/Pacific Blue","8"
3185050,147,"Air New Zealand","8"
3185078,120,"Singapore Airlines","9"
3185064,135,"Air New Zealand","8"
3185068,132,"Emirates","Excellent  10"
3185045,137,"Emirates","9"
3185061,121,"Emirates","Excellent  10"
3185159,163,"China Southern","6"
3185038,145,"Not sure",NA
3185054,129,"Qantas","8"
3185167,138,"Not sure",NA
3185078,121,"Virgin/Virgin Blue/Pacific Blue","7"
3185073,149,"JetStar","6"
3185081,135,"JetStar","7"
3185056,142,"JetStar","6"
3185089,133,"Another airline",NA
3185074,132,"Air New Zealand","9"
3185195,142,"Virgin/Virgin Blue/Pacific Blue","6"
3185199,141,"Virgin/Virgin Blue/Pacific Blue","7"
3185076,144,"Air Asia X","8"
3185092,131,"Air New Zealand","Excellent  10"
3185207,136,"Qantas","7"
3185227,136,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3185155,146,"Emirates","8"
3185108,151,"Emirates","Excellent  10"
3185081,136,"Emirates","Excellent  10"
3185064,136,"JetStar","6"
3185054,128,"Air New Zealand","8"
3185086,164,"Air New Zealand","Excellent  10"
3185076,143,"Air New Zealand","9"
3185093,143,"JetStar","7"
3185084,138,"JetStar","9"
3185100,135,"Not sure",NA
3185207,137,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3185211,149,"Not sure",NA
3185223,134,"Qantas","9"
3185088,134,"Emirates","Excellent  10"
3185112,133,"Emirates","9"
3185175,129,"Air New Zealand","8"
3185090,150,"JetStar","6"
3185117,142,"Air New Zealand","Excellent  10"
3185088,133,"Air New Zealand","9"
3185105,144,"Emirates","Excellent  10"
3185117,145,"Emirates","9"
3185122,141,"Emirates","8"
3185144,130,"Emirates","9"
3185068,131,"JetStar","Excellent  10"
3185066,151,"JetStar","7"
3185116,140,"Air New Zealand","Excellent  10"
3185120,159,"Air New Zealand","Excellent  10"
3185089,132,"Air New Zealand","8"
3185227,135,"Qantas","9"
3185094,128,"Not sure",NA
3185163,141,"Emirates","7"
3185183,124,"Emirates","Excellent  10"
3185014,132,"Not sure",NA
3185092,132,"Emirates","9"
3185090,149,"Singapore Airlines","Excellent  10"
3185183,123,"China Southern","3"
3185191,135,"Air New Zealand","8"
3185108,152,"Cathay Pacific","Excellent  10"
3185105,145,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3185106,133,"Air New Zealand","9"
3185223,135,"Emirates","Excellent  10"
3185121,151,"Emirates","8"
3185121,148,"Air New Zealand","8"
3185098,135,"Singapore Airlines","7"
3185125,154,"Emirates","7"
3185267,133,"Emirates","8"
3185121,149,"Malaysian Airlines","Excellent  10"
3185117,143,"Singapore Airlines","Excellent  10"
3185114,144,"JetStar","4"
3185122,139,"Air New Zealand","9"
3185090,151,"Qantas","7"
3185239,133,"Qantas","9"
3185267,131,"Singapore Airlines","9"
3185267,134,"Virgin/Virgin Blue/Pacific Blue","7"
3185121,150,"Qantas","Excellent  10"
3185156,133,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3185122,140,"JetStar","8"
3185231,162,"Air New Zealand","8"
3185235,165,"Another airline",NA
3185247,130,"Air New Zealand","8"
3185138,135,"Virgin/Virgin Blue/Pacific Blue","9"
3185158,154,"Not sure",NA
3185162,127,"Not sure",NA
3185117,144,"JetStar","7"
3185235,163,"Air New Zealand","9"
3185134,133,"Air New Zealand","6"
3185137,135,"Air New Zealand","9"
3185125,155,"Another airline",NA
3185133,115,"Air New Zealand","8"
3185302,146,"Virgin/Virgin Blue/Pacific Blue","8"
3185174,136,"Emirates","9"
3185230,148,"Emirates","9"
3185310,138,"Emirates","9"
3185186,143,"Emirates","8"
3184960,137,"Korean Air","Excellent  10"
3185338,145,"Cathay Pacific","Excellent  10"
3185334,127,"Not sure",NA
3185160,141,"Not sure",NA
3185186,142,"Qantas","9"
3185141,120,"Air New Zealand","6"
3185226,122,"Not sure",NA
3185170,155,"Air New Zealand","Excellent  10"
3185346,141,"Qantas","Excellent  10"
3185342,141,"Not sure",NA
3185254,123,"Not sure",NA
3185153,131,"Qantas","7"
3185318,134,"Not sure",NA
3185234,147,"Not sure",NA
3185149,134,"Virgin/Virgin Blue/Pacific Blue","9"
3185310,136,"JetStar","7"
3185258,151,"Virgin/Virgin Blue/Pacific Blue","6"
3185164,132,"JetStar","6"
3185136,139,"Emirates","9"
3185161,109,"Emirates","Excellent  10"
3185181,151,"Emirates","Excellent  10"
3185170,156,"JetStar","5"
3185206,146,"Air New Zealand","9"
3185246,129,"Not sure",NA
3185270,121,"Virgin/Virgin Blue/Pacific Blue","4"
3185270,120,"Emirates","7"
3185098,136,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3185132,152,"Not sure",NA
3185235,164,"Virgin/Virgin Blue/Pacific Blue","7"
3185148,136,"Not sure",NA
3185133,116,"Qantas","8"
3185138,134,"Emirates","8"
3185302,145,"Emirates","9"
3185164,133,"Emirates","8"
3185330,126,"Emirates","8"
3185310,137,"Qantas","9"
3185322,141,"Virgin/Virgin Blue/Pacific Blue","2"
3185190,153,"Virgin/Virgin Blue/Pacific Blue","5"
3185267,132,"JetStar","8"
3185186,141,"Air New Zealand","8"
3185210,143,"Not sure",NA
3185168,132,"Virgin/Virgin Blue/Pacific Blue","6"
3185285,129,"Singapore Airlines","9"
3185266,118,"Not sure",NA
3185181,150,"Qantas","9"
3185168,131,"Air New Zealand","8"
3185182,136,"JetStar","4"
3185346,140,"Air New Zealand","6"
3185145,139,"Air New Zealand","9"
3185350,120,"Air New Zealand","Excellent  10"
3185185,147,"Air New Zealand","9"
3185297,142,"Virgin/Virgin Blue/Pacific Blue","7"
3185214,123,"Air New Zealand","Excellent  10"
3185289,136,"JetStar","6"
3185258,150,"JetStar","8"
3185362,128,"Air New Zealand","6"
3185274,147,"JetStar","9"
3185305,120,"Air New Zealand","7"
3185374,149,"Air New Zealand","9"
3185209,142,"Air New Zealand","Excellent  10"
3185305,122,"JetStar","8"
3185200,138,"Air New Zealand","6"
3185185,148,"JetStar","6"
3185208,130,"Air New Zealand","5"
3185180,149,"JetStar","5"
3185374,150,"JetStar","7"
3185216,139,"Air New Zealand","8"
3185209,143,"Malaysian Airlines","9"
3185305,121,"China Southern","9"
3185188,142,"Air New Zealand","9"
3185204,158,"Air New Zealand","Excellent  10"
3185358,130,"Not sure",NA
3185366,138,"Not sure",NA
3185370,147,"Singapore Airlines","Excellent  10"
3185297,141,"Qantas","9"
3185193,135,"Qantas","7"
3185197,144,"Qantas","9"
3185201,143,"Not sure",NA
3185197,145,"Virgin/Virgin Blue/Pacific Blue","8"
3185374,151,"Qantas","7"
3185382,124,"Singapore Airlines","4"
3185378,130,"Not sure",NA
3185225,150,"Qantas","8"
3185394,133,"Qantas","8"
3185233,145,"Singapore Airlines","4"
3185313,144,"Not sure",NA
3185228,120,"Virgin/Virgin Blue/Pacific Blue","6"
3185220,149,"Not sure",NA
3185237,138,"Air New Zealand","Excellent  10"
3185329,143,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3185245,146,"Air New Zealand","8"
3185337,157,"Air New Zealand","8"
3185390,139,"Air New Zealand","9"
3185394,132,"JetStar","5"
3185241,145,"Air New Zealand","Excellent  10"
3185228,119,"Air New Zealand","7"
3185240,145,"Air New Zealand","Excellent  10"
3185249,137,"Cathay Pacific","Excellent  10"
3185249,134,"Singapore Airlines","8"
3185410,132,"Singapore Airlines","9"
3185213,142,"Virgin/Virgin Blue/Pacific Blue","8"
3185317,138,"Virgin/Virgin Blue/Pacific Blue","6"
3185398,127,"Virgin/Virgin Blue/Pacific Blue","7"
3185329,142,"Singapore Airlines","Excellent  10"
3185245,148,"China Southern","4"
3185249,135,"Qantas","Excellent  10"
3185248,123,"Singapore Airlines","7"
3185398,126,"Emirates","8"
3185309,115,"JetStar","7"
3185292,131,"Virgin/Virgin Blue/Pacific Blue","7"
3185245,149,"Emirates","7"
3185390,140,"JetStar","7"
3185284,148,"Not sure",NA
3185268,139,"Virgin/Virgin Blue/Pacific Blue","8"
3185382,125,"Qantas","7"
3185245,147,"Singapore Airlines","7"
3185224,136,"JetStar","3"
3185244,129,"Air New Zealand","6"
3185248,122,"Air New Zealand","7"
3185249,136,"Virgin/Virgin Blue/Pacific Blue","5"
3185277,141,"Qantas","9"
3185296,142,"Virgin/Virgin Blue/Pacific Blue","7"
3185248,124,"JetStar","7"
3185410,131,"Air New Zealand","8"
3185410,133,"JetStar","5"
3185292,130,"Air New Zealand","5"
3185252,139,"JetStar","6"
3185331,151,"Air New Zealand","8"
3185312,131,"Air New Zealand","Excellent  10"
3185260,151,"Air New Zealand","6"
3185296,141,"Air New Zealand","7"
3185216,140,"Emirates","8"
3185328,138,"Emirates","7"
3185351,124,"JetStar","5"
3185355,146,"Air New Zealand","Excellent  10"
3185343,135,"Not sure",NA
3185414,135,"Air New Zealand","8"
3185288,131,"Virgin/Virgin Blue/Pacific Blue","9"
3185377,125,"Singapore Airlines","7"
3185351,123,"Air New Zealand","9"
3185328,136,"Air New Zealand","7"
3185347,170,"Qantas","Excellent  10"
3185328,139,"Another airline",NA
3185389,117,"Singapore Airlines","9"
3185373,131,"Singapore Airlines","8"
3185357,137,"Air New Zealand","6"
3185304,135,"Air New Zealand","9"
3185377,124,"Air New Zealand","9"
3185347,168,"Air New Zealand","8"
3185327,134,"Not sure",NA
3185426,145,"Cathay Pacific","9"
3185347,169,"Singapore Airlines","Excellent  10"
3185367,156,"Air New Zealand","Excellent  10"
3185324,134,"Not sure",NA
3185422,143,"Another airline",NA
3185389,116,"Air New Zealand","9"
3185332,123,"Not sure",NA
3185348,125,"Air New Zealand","9"
3185421,145,"Air New Zealand","Excellent  10"
3185429,140,"JetStar","5"
3185438,121,"Air New Zealand","5"
3185389,118,"Qantas","7"
3185352,122,"Not sure",NA
3185409,163,"Air New Zealand","Excellent  10"
3185392,127,"Air New Zealand","8"
3185372,139,"JetStar","8"
3185441,129,"Air New Zealand","7"
3185384,129,"Emirates","8"
3185375,134,"Emirates","9"
3185328,137,"JetStar","6"
3185438,122,"JetStar","8"
3185429,139,"Air New Zealand","6"
3185449,129,"Air New Zealand","9"
3185400,143,"Air New Zealand","8"
3185404,132,"Air New Zealand","9"
3185408,135,"Air New Zealand","7"
3185433,141,"Air New Zealand","5"
3185375,133,"Air New Zealand","Excellent  10"
3185277,142,"Emirates","9"
3185437,131,"Emirates","Excellent  10"
3185401,139,"Singapore Airlines","9"
3185367,157,"Qantas","Excellent  10"
3185380,150,"Not sure",NA
3185434,162,"Not sure",NA
3185396,150,"Not sure",NA
3185450,133,"Singapore Airlines","Excellent  10"
3185425,141,"Not sure",NA
3185462,123,"Qantas","8"
3185185,149,"Emirates","9"
3185522,137,"Emirates","9"
3185387,135,"Not sure",NA
3185416,139,"Not sure",NA
3185420,141,"JetStar","9"
3185486,154,"Air New Zealand","8"
3185474,156,"JetStar","5"
3185494,123,"JetStar","4"
3185457,134,"Air New Zealand","Excellent  10"
3185428,129,"JetStar","4"
3185461,128,"Air New Zealand","9"
3185368,137,"Not sure",NA
3185421,146,"Singapore Airlines","Excellent  10"
3185438,123,"Emirates","6"
3185526,158,"Emirates","7"
3185379,112,"JetStar","9"
3185449,131,"JetStar","8"
3185395,155,"Air New Zealand","8"
3185502,155,"JetStar","6"
3185538,139,"Air New Zealand","8"
3185473,162,"Air New Zealand","9"
3185470,139,"Not sure",NA
3185474,157,"Qantas","6"
3185407,143,"Not sure",NA
3185449,132,"Virgin/Virgin Blue/Pacific Blue","3"
3185415,141,"Singapore Airlines","7"
3185423,134,"Virgin/Virgin Blue/Pacific Blue","7"
3185502,154,"Singapore Airlines","Excellent  10"
3185428,130,"Virgin/Virgin Blue/Pacific Blue","3"
3185415,142,"Emirates","9"
3185550,139,"Emirates","9"
3185420,142,"Emirates","8"
3185463,148,"Emirates","8"
3185572,142,"Air New Zealand","8"
3185420,143,"Virgin/Virgin Blue/Pacific Blue","6"
3185459,135,"Air New Zealand","Excellent  10"
3185471,123,"Air New Zealand","8"
3185487,149,"Another airline",NA
3185468,121,"Air New Zealand","9"
3185479,128,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3185542,122,"Singapore Airlines","8"
3185503,133,"Qantas","7"
3185580,141,"Qantas","9"
3185449,130,"Singapore Airlines","8"
3185415,143,"Virgin/Virgin Blue/Pacific Blue","8"
3185443,144,"Not sure",NA
3185538,140,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3185463,147,"JetStar","Poor  1"
3185550,138,"JetStar","7"
3185477,131,"Air New Zealand","9"
3185448,138,"Not sure",NA
3185546,148,"Not sure",NA
3185554,131,"Virgin/Virgin Blue/Pacific Blue","6"
3185473,164,"Emirates","9"
3185580,142,"Emirates","Excellent  10"
3185572,143,"Qantas","Excellent  10"
3185488,150,"Virgin/Virgin Blue/Pacific Blue","7"
3185608,130,"Virgin/Virgin Blue/Pacific Blue","7"
3185507,151,"Emirates","Excellent  10"
3185497,137,"Emirates","9"
3185592,129,"Virgin/Virgin Blue/Pacific Blue","9"
3185491,133,"Not sure",NA
3185493,144,"Not sure",NA
3185492,136,"Qantas","6"
