"SurveyResponseID","AnswerNumber","TechnologyType"
3184889,117,"Wi-fi internet locations"
3184890,118,"Wi-fi internet locations"
3184891,118,"Your own mobile phone with a sim card purchased in New Zealand"
3184891,119,"Blackberry, iPhone or another smart phone"
3184891,120,"Your own laptop or iPad/tablet"
3184894,126,"Your own mobile phone with a sim card purchased in New Zealand"
3184894,127,"Wi-fi internet locations"
3184895,119,"Your own mobile phone set to global roaming"
3184895,120,"Wi-fi internet locations"
3184901,122,"None of these"
3184905,126,"Wi-fi internet locations"
3184905,127,"Your own laptop or iPad/tablet"
3184907,132,"Your own mobile phone set to global roaming"
3184907,133,"Wi-fi internet locations"
3184907,134,"Your own laptop or iPad/tablet"
3184908,127,"Wi-fi internet locations"
3184909,115,"Your own mobile phone with a sim card purchased in New Zealand"
3184909,116,"Blackberry, iPhone or another smart phone"
3184909,117,"Other types of technology"
3184911,118,"Wi-fi internet locations"
3184913,117,"Your own mobile phone with a sim card purchased in New Zealand"
3184913,118,"Your own laptop or iPad/tablet"
3184916,133,"Blackberry, iPhone or another smart phone"
3184916,134,"Your own laptop or iPad/tablet"
3184918,113,"Your own mobile phone set to global roaming"
3184918,114,"Internet cafes"
3184918,115,"Wi-fi internet locations"
3184918,116,"Your own laptop or iPad/tablet"
3184919,144,"Your own mobile phone set to global roaming"
3184919,145,"Blackberry, iPhone or another smart phone"
3184919,146,"Wi-fi internet locations"
3184919,147,"Your own laptop or iPad/tablet"
3184919,148,"Gaming console with Wi-fi capacity"
3184920,118,"Blackberry, iPhone or another smart phone"
3184920,119,"Internet cafes"
3184924,126,"Wi-fi internet locations"
3184928,122,"Wi-fi internet locations"
3184928,123,"Your own laptop or iPad/tablet"
3184930,112,"Your own mobile phone with a sim card purchased in New Zealand"
3184930,113,"Wi-fi internet locations"
3184930,114,"Your own laptop or iPad/tablet"
3184932,111,"Blackberry, iPhone or another smart phone"
3184933,108,"Wi-fi internet locations"
3184933,109,"Your own laptop or iPad/tablet"
3184934,120,"Your own mobile phone with a sim card purchased in New Zealand"
3184934,121,"Blackberry, iPhone or another smart phone"
3184934,122,"Wi-fi internet locations"
3184934,123,"Your own laptop or iPad/tablet"
3184936,127,"Your own mobile phone with a sim card purchased in New Zealand"
3184936,128,"Your own laptop or iPad/tablet"
3184937,117,"Your own mobile phone set to global roaming"
3184937,118,"Your own laptop or iPad/tablet"
3184938,113,"Your own mobile phone set to global roaming"
3184938,114,"Blackberry, iPhone or another smart phone"
3184938,115,"Your own laptop or iPad/tablet"
3184939,120,"None of these"
3184941,134,"Wi-fi internet locations"
3184941,135,"Your own laptop or iPad/tablet"
3184943,121,"Wi-fi internet locations"
3184943,122,"Your own laptop or iPad/tablet"
3184944,150,"Your own laptop or iPad/tablet"
3184945,129,"Your own mobile phone set to global roaming"
3184945,130,"Your own laptop or iPad/tablet"
3184947,122,"Your own mobile phone set to global roaming"
3184947,123,"Wi-fi internet locations"
3184951,97,"Blackberry, iPhone or another smart phone"
3184951,98,"Your own laptop or iPad/tablet"
3184952,118,"Your own mobile phone set to global roaming"
3184952,119,"Wi-fi internet locations"
3184954,123,"Your own mobile phone set to global roaming"
3184954,124,"Wi-fi internet locations"
3184955,111,"Blackberry, iPhone or another smart phone"
3184955,112,"Wi-fi internet locations"
3184955,113,"Your own laptop or iPad/tablet"
3184956,127,"Wi-fi internet locations"
3184958,129,"Your own mobile phone set to global roaming"
