"SurveyResponseID","AnswerNumber","InformationSourceUsed"
3503446,110,"i-SITE Visitor Information Centre(s)"
3503455,125,"i-SITE Visitor Information Centre(s)"
3503467,179,"i-SITE Visitor Information Centre(s)"
3503470,143,"i-SITE Visitor Information Centre(s)"
3503479,137,"i-SITE Visitor Information Centre(s)"
3503492,163,"i-SITE Visitor Information Centre(s)"
3503508,132,"i-SITE Visitor Information Centre(s)"
3503518,128,"i-SITE Visitor Information Centre(s)"
3503519,111,"i-SITE Visitor Information Centre(s)"
3503524,129,"i-SITE Visitor Information Centre(s)"
3503534,130,"i-SITE Visitor Information Centre(s)"
3503535,150,"i-SITE Visitor Information Centre(s)"
3503543,130,"i-SITE Visitor Information Centre(s)"
3503566,127,"i-SITE Visitor Information Centre(s)"
3503573,125,"i-SITE Visitor Information Centre(s)"
3503579,118,"i-SITE Visitor Information Centre(s)"
3503581,148,"i-SITE Visitor Information Centre(s)"
3503584,109,"i-SITE Visitor Information Centre(s)"
3503590,160,"i-SITE Visitor Information Centre(s)"
3503600,104,"i-SITE Visitor Information Centre(s)"
3503591,138,"i-SITE Visitor Information Centre(s)"
3503607,112,"i-SITE Visitor Information Centre(s)"
3503614,141,"i-SITE Visitor Information Centre(s)"
3503629,150,"i-SITE Visitor Information Centre(s)"
3503666,119,"i-SITE Visitor Information Centre(s)"
3503673,142,"i-SITE Visitor Information Centre(s)"
3503674,150,"i-SITE Visitor Information Centre(s)"
3503686,128,"i-SITE Visitor Information Centre(s)"
3503690,139,"i-SITE Visitor Information Centre(s)"
3503691,149,"i-SITE Visitor Information Centre(s)"
3503705,149,"i-SITE Visitor Information Centre(s)"
3503707,164,"i-SITE Visitor Information Centre(s)"
3503711,153,"i-SITE Visitor Information Centre(s)"
3503721,125,"i-SITE Visitor Information Centre(s)"
3503722,176,"i-SITE Visitor Information Centre(s)"
3503731,171,"i-SITE Visitor Information Centre(s)"
3503734,132,"i-SITE Visitor Information Centre(s)"
3503753,95,"i-SITE Visitor Information Centre(s)"
3503764,136,"i-SITE Visitor Information Centre(s)"
3503766,110,"i-SITE Visitor Information Centre(s)"
3503779,148,"i-SITE Visitor Information Centre(s)"
3503789,119,"i-SITE Visitor Information Centre(s)"
3503801,129,"i-SITE Visitor Information Centre(s)"
3503802,156,"i-SITE Visitor Information Centre(s)"
3503803,136,"i-SITE Visitor Information Centre(s)"
3503804,156,"i-SITE Visitor Information Centre(s)"
3503806,124,"i-SITE Visitor Information Centre(s)"
3522965,170,"i-SITE Visitor Information Centre(s)"
3522976,153,"i-SITE Visitor Information Centre(s)"
3522986,126,"i-SITE Visitor Information Centre(s)"
3522992,125,"i-SITE Visitor Information Centre(s)"
3523018,176,"i-SITE Visitor Information Centre(s)"
3523036,155,"i-SITE Visitor Information Centre(s)"
3523038,120,"i-SITE Visitor Information Centre(s)"
3523039,157,"i-SITE Visitor Information Centre(s)"
3523052,126,"i-SITE Visitor Information Centre(s)"
3523124,129,"i-SITE Visitor Information Centre(s)"
3523135,149,"i-SITE Visitor Information Centre(s)"
3523138,121,"i-SITE Visitor Information Centre(s)"
3523142,142,"i-SITE Visitor Information Centre(s)"
3523153,152,"i-SITE Visitor Information Centre(s)"
3523158,125,"i-SITE Visitor Information Centre(s)"
3523161,125,"i-SITE Visitor Information Centre(s)"
3523185,120,"i-SITE Visitor Information Centre(s)"
3523196,141,"i-SITE Visitor Information Centre(s)"
3523197,132,"i-SITE Visitor Information Centre(s)"
3523208,136,"i-SITE Visitor Information Centre(s)"
3523224,95,"i-SITE Visitor Information Centre(s)"
3523225,110,"i-SITE Visitor Information Centre(s)"
3523229,131,"i-SITE Visitor Information Centre(s)"
3523231,118,"i-SITE Visitor Information Centre(s)"
3523373,229,"i-SITE Visitor Information Centre(s)"
3523374,123,"i-SITE Visitor Information Centre(s)"
3523377,135,"i-SITE Visitor Information Centre(s)"
3523378,174,"i-SITE Visitor Information Centre(s)"
3523381,139,"i-SITE Visitor Information Centre(s)"
3523659,132,"i-SITE Visitor Information Centre(s)"
3523660,169,"i-SITE Visitor Information Centre(s)"
3523662,151,"i-SITE Visitor Information Centre(s)"
3523663,126,"i-SITE Visitor Information Centre(s)"
3523674,104,"i-SITE Visitor Information Centre(s)"
3523677,111,"i-SITE Visitor Information Centre(s)"
3523697,149,"i-SITE Visitor Information Centre(s)"
3523689,100,"i-SITE Visitor Information Centre(s)"
3523698,137,"i-SITE Visitor Information Centre(s)"
3523701,121,"i-SITE Visitor Information Centre(s)"
3523703,109,"i-SITE Visitor Information Centre(s)"
3523707,125,"i-SITE Visitor Information Centre(s)"
3523708,123,"i-SITE Visitor Information Centre(s)"
3523721,149,"i-SITE Visitor Information Centre(s)"
3523722,132,"i-SITE Visitor Information Centre(s)"
3523739,121,"i-SITE Visitor Information Centre(s)"
3523753,103,"i-SITE Visitor Information Centre(s)"
3523755,143,"i-SITE Visitor Information Centre(s)"
3523777,139,"i-SITE Visitor Information Centre(s)"
3523790,128,"i-SITE Visitor Information Centre(s)"
3523813,158,"i-SITE Visitor Information Centre(s)"
3523816,111,"i-SITE Visitor Information Centre(s)"
3523817,130,"i-SITE Visitor Information Centre(s)"
3523825,164,"i-SITE Visitor Information Centre(s)"
3523845,127,"i-SITE Visitor Information Centre(s)"
3523852,110,"i-SITE Visitor Information Centre(s)"
3523855,155,"i-SITE Visitor Information Centre(s)"
3523856,118,"i-SITE Visitor Information Centre(s)"
3523861,147,"i-SITE Visitor Information Centre(s)"
3523863,142,"i-SITE Visitor Information Centre(s)"
3523868,147,"i-SITE Visitor Information Centre(s)"
3523875,121,"i-SITE Visitor Information Centre(s)"
3523911,145,"i-SITE Visitor Information Centre(s)"
3523930,121,"i-SITE Visitor Information Centre(s)"
3524782,120,"i-SITE Visitor Information Centre(s)"
3524785,123,"i-SITE Visitor Information Centre(s)"
3524791,128,"i-SITE Visitor Information Centre(s)"
3524799,132,"i-SITE Visitor Information Centre(s)"
3524800,127,"i-SITE Visitor Information Centre(s)"
3524817,145,"i-SITE Visitor Information Centre(s)"
3524825,122,"i-SITE Visitor Information Centre(s)"
3524844,127,"i-SITE Visitor Information Centre(s)"
3524851,167,"i-SITE Visitor Information Centre(s)"
3524871,204,"i-SITE Visitor Information Centre(s)"
3524874,143,"i-SITE Visitor Information Centre(s)"
